id;user_id;first_name;last_name;phone;address;city;state;country;postal_code
02da38ff-2d77-4054-ab35-91228f4806a6;9159c711-e82b-43bd-831b-58d2d16a3e0e;Samanta;Lubowitz;1-323-786-2010;out-of-the-box;Carrollburgh;bypass bus;Cyprus;Palau
c6fa1cc0-2eda-449a-b1df-102f8be15f46;d9edcaa6-bc37-408c-baf0-b21249d15b30;Alaina;Dietrich;(350) 573-9103;RAM program;Lehigh Acres;Djibouti needs-based;Sao Tome and Principe;Iranian Books
8911f5b8-c2df-4fa9-8ef4-692c83017794;d5079963-0d56-4a77-93fa-8598f9f5b0b4;Jessika;Jakubowski;1-758-759-1470 x796;Books;Port Antonetta;Self-enabling Technician Account;India;Future
2020c530-9d5a-4055-9edc-71fefecef05e;5dbe8f89-2639-4ed5-982f-f36351f7245d;Kenna;Hyatt;(617) 275-4739 x9995;Fresh;South Jackson;Circle Account;Sweden;back-end Metal
8cb0e01e-b1d1-473e-a3d8-62098ecf0d0a;8914e6a3-e613-48ac-9b09-2a4ca82f5dfa;Mariano;Ledner;1-754-284-6142 x614;e-markets;Murazikburgh;African innovate;Virgin Islands, British;Optimization Granite programming
4232b26e-e06b-4592-986b-d87ae6079eef;8e55d8df-9026-447f-86aa-0073244280e0;Jonathon;Leuschke;948-957-6442 x64803;Guatemala;Abbottton;sensor Turkmenistan extensible;Colombia;Wisconsin Arkansas
838b866c-c0b5-47a8-ae84-3dffc966a04b;b89f6b3a-ee20-4626-bb48-2c75cfb12a3d;Mary;Murray;658-474-3622 x024;Village;West Glen;Rand Product;Iran;Specialist
b9973908-f2c1-4701-b1c2-bd652cb5d5ae;8486ed8d-4517-46ff-9abc-8d40c99d558c;Orion;O'Connell;(963) 610-6746 x483;California;West Marianofurt;Dynamic;Tokelau;Guilder scale
46b0b281-c737-4958-b35d-cfeedc07bc91;a8ef8129-6b97-4c93-8c93-5760d5aea203;Wilfredo;Reichel;1-540-217-2133;Global;Deontaeborough;Kuwaiti Berkshire Cross-group;Micronesia;Australian Ameliorated Tools
24cc8a68-8359-4dae-af13-c10288d6047a;c32b5f18-1374-419b-822b-b64ee4b792e0;Jimmie;Steuber;884.454.7414 x9358;Optimized Glens;East Dayna;system;Venezuela;yellow transmit experiences
